GENE,KIN_ACC_ID
EIF2AK1,Q9BQI3
EIF2AK1,Q9BQI3
EIF2AK1,Q9BQI3
EIF2AK1,Q9BQI3
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PRKCD,Q05655
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
PIM2,Q9P1W9
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
CAMK2A,Q9UQM7
